表内序号,五要素,表名,中文表名,字段名称,字段描述,字段类型,长度,内部标识符,中文名称,标识符,数据类型,表示格式
8,人员要素,CRJ_CZJWRYXX,常住境外人员信息,CSRQ,出生日期,VARCHAR2,8,DE00008,出生日期,CSRQ,日期型（date）,d8（YYYYMMDD）
9,人员要素,CRJ_CZJWRYXX,常住境外人员信息,GJHDQDM,国家/地区,VARCHAR2,3,DE00069,国家和地区代码,GJHDQDM,字符型（string）,c3
11,人员要素,CRJ_CZJWRYXX,常住境外人员信息,SFZMMC,身份证明名称,VARCHAR2,3,DE00085,常用证件代码,CYZJDM,字符型（string）,c3
12,人员要素,CRJ_CZJWRYXX,常住境外人员信息,QFRQ,签发日期,VARCHAR2,8,DE00571,签发日期,QFRQ,日期型（date）,d8(YYYYMMDD)
13,人员要素,CRJ_CZJWRYXX,常住境外人员信息,ZJYXQ,证件有效期,VARCHAR2,8,DE00611,证件有效期截止日期,YXQJZRQ,日期型（date）,d8(YYYYMMDD)
14,人员要素,CRJ_CZJWRYXX,常住境外人员信息,SFZMHM,身份证明号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
15,人员要素,CRJ_CZJWRYXX,常住境外人员信息,RJKA,入境口岸,VARCHAR2,3,DE00078,口岸代码,KADM,字符型（string）,c3
16,人员要素,CRJ_CZJWRYXX,常住境外人员信息,RJRQ,入境日期,VARCHAR2,8,DE00580,入境日期,RJRQ,日期型（date）,d8(YYYYMMDD)
17,人员要素,CRJ_CZJWRYXX,常住境外人员信息,RJSY,入境事由,VARCHAR2,2,DE00125,境外人员入境事由代码,JWRYRJSYDM,字符型（string）,c2
19,人员要素,CRJ_CZJWRYXX,常住境外人员信息,QZZL,签证种类,VARCHAR2,16,,,,,
20,人员要素,CRJ_CZJWRYXX,常住境外人员信息,JLSY,居留事由,VARCHAR2,2,DE00126,外国人居留事由代码,WGRJLSYDM,字符型（string）,c2
21,人员要素,CRJ_CZJWRYXX,常住境外人员信息,QZHM,签证号码,VARCHAR2,16,,,,,
22,人员要素,CRJ_CZJWRYXX,常住境外人员信息,QZFZRQ,签证发证日期,VARCHAR2,8,DE00101,签证发证日期,QZFZRQ,日期型（date）,d8（YYYYMMDD）
25,人员要素,CRJ_CZJWRYXX,常住境外人员信息,LXDH,联系电话,VARCHAR2,40,DE00216,联系电话,LXDH,字符型（string）,c..18
26,人员要素,CRJ_CZJWRYXX,常住境外人员信息,BZ,备注,VARCHAR2,"1,024",,,,,
27,人员要素,CRJ_CZJWRYXX,常住境外人员信息,JDDWLB,建档单位类别,VARCHAR2,1,,,,,
28,人员要素,CRJ_CZJWRYXX,常住境外人员信息,JDDW,建档单位,VARCHAR2,12,DE00065,建档单位名称,JDDWMC,字符型（string）,c..100
29,人员要素,CRJ_CZJWRYXX,常住境外人员信息,ZDZYRYBZ,重点注意人员标识,VARCHAR2,1,,,,,
31,人员要素,CRJ_CZJWRYXX,常住境外人员信息,JLXKYXQX,居留许可(签证)有效期限,VARCHAR2,8,DE00611,居留许可有效期截止日期,JLXKYXQJZRQ,日期型（date）,d8(YYYYMMDD)
32,人员要素,CRJ_CZJWRYXX,常住境外人员信息,JLXKQFJG,居留许可(签证)签发机关,VARCHAR2,4,,,,,
33,人员要素,CRJ_CZJWRYXX,常住境外人员信息,JLXKBGXXDM,居留许可(签证)变更信息代码,VARCHAR2,2,,,,,
34,人员要素,CRJ_CZJWRYXX,常住境外人员信息,JLXKBGHXX,居留许可(签证)变更后信息,VARCHAR2,"1,024",,,,,
34,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XZZGBID,现住址根表ID,VARCHAR2,20,,,,,
35,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XZZDH,现住址电话,VARCHAR2,30,DE00216,现住址联系电话,XZZLXDH,字符型（string）,c..18
36,人员要素,GZDX_JSBRJBXX,精神病人基本信息,WHCD,文化程度,VARCHAR2,2,DE00013,学历代码,XLDM,字符型（string）,c2
37,人员要素,GZDX_JSBRJBXX,精神病人基本信息,ZPBZ,照片标志,VARCHAR2,1,,,,,
38,人员要素,GZDX_JSBRJBXX,精神病人基本信息,ZY,职业,VARCHAR2,5,DE00020,职业类别代码,ZYLBDM,字符型（string）,c3
39,人员要素,GZDX_JSBRJBXX,精神病人基本信息,GZDW,工作单位,VARCHAR2,80,DE00021,服务处所,FWCS,字符型（string）,c..100
40,人员要素,GZDX_JSBRJBXX,精神病人基本信息,DWDH,单位电话,VARCHAR2,30,DE00216,单位联系电话,DWLXDH,字符型（string）,c..18
41,人员要素,GZDX_JSBRJBXX,精神病人基本信息,JSLB,精神类别,VARCHAR2,3,,,,,
42,人员要素,GZDX_JSBRJBXX,精神病人基本信息,JHRSFZHM,监护人公民身份证号码,VARCHAR2,18,DE00001,监护人公民身份号码,JHRGMSFHM,字符型（string）,c18
43,人员要素,GZDX_JSBRJBXX,精神病人基本信息,JHR,监护人（监护单位）,VARCHAR2,80,,,,,
44,人员要素,GZDX_JSBRJBXX,精神病人基本信息,JHRYHZGX,监护人与患者关系,VARCHAR2,5,DE00026,监护关系代码,JHGXDM,字符型（string）,c2
45,人员要素,GZDX_JSBRJBXX,精神病人基本信息,JHRZZXZQH,监护人（监护单位）住址行政区划,VARCHAR2,6,DE00070,监护人（监护单位）行政区划代码,JHRXZQHDM,字符型（string）,c6
46,人员要素,GZDX_JSBRJBXX,精神病人基本信息,JHRZZJLXDM,监护人（监护单位）住址街楼巷代码,VARCHAR2,40,,,,,
47,人员要素,GZDX_JSBRJBXX,精神病人基本信息,JHRZZJLXMC,监护人（监护单位）住址街楼巷名称,VARCHAR2,40,DE00075,监护人（监护单位）街楼巷地址名称,JHRJLXDZMC,字符型（string）,c..100
48,人员要素,GZDX_JSBRJBXX,精神病人基本信息,JHRZZMLPDM,监护人（监护单位）住址门楼牌代码,VARCHAR2,40,,,,,
49,人员要素,GZDX_JSBRJBXX,精神病人基本信息,JHRZZMLPMC,监护人（监护单位）住址门楼牌名称,VARCHAR2,40,DE00075,监护人（监护单位）门楼牌地址名称,JHRMLPDZMC,字符型（string）,c..100
51,人员要素,GZDX_JSBRJBXX,精神病人基本信息,JHRZZXZMC,监护人（监护单位）住址详址名称,VARCHAR2,40,DE00075,监护人（监护单位）详址地址名称,JHRXZDZMC,字符型（string）,c..100
52,人员要素,GZDX_JSBRJBXX,精神病人基本信息,JHRZZQDZ,监护人（监护单位）住址全地址,VARCHAR2,60,DE00075,监护人（监护单位）地址名称,JHRDZMC,字符型（string）,c..100
53,人员要素,GZDX_JSBRJBXX,精神病人基本信息,JHRZZGBID,监护人（监护单位）住址根表ID,VARCHAR2,20,,,,,
54,人员要素,GZDX_JSBRJBXX,精神病人基本信息,JHRDH,监护人（单位）电话,VARCHAR2,30,DE00216,监护人（监护单位）联系电话,JHRLXDH,字符型（string）,c..18
55,人员要素,GZDX_JSBRJBXX,精神病人基本信息,ZYSS,主要事实,VARCHAR2,500,,,,,
56,人员要素,GZDX_JSBRJBXX,精神病人基本信息,SFJDJL,司法鉴定结论,VARCHAR2,1,,,,,
57,人员要素,GZDX_JSBRJBXX,精神病人基本信息,GKQK,管控情况,VARCHAR2,1,,,,,
58,人员要素,GZDX_JSBRJBXX,精神病人基本信息,TBDW,填报单位,VARCHAR2,80,DE00065,填报单位名称,TBDWMC,字符型（string）,c..100
60,人员要素,GZDX_JSBRJBXX,精神病人基本信息,TBRQ,填表日期,VARCHAR2,19,DE00101,填表日期,TBRQ,日期型（date）,d8（YYYYMMDD）
61,人员要素,GZDX_JSBRJBXX,精神病人基本信息,FJQD,附件清单,VARCHAR2,500,,,,,
62,人员要素,GZDX_JSBRJBXX,精神病人基本信息,BZ,备注,VARCHAR2,250,,,,,
64,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XT_ZRQMC,责任区名称,VARCHAR2,40,,,,,
65,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XT_GLDWID,管理单位ID,VARCHAR2,12,,,,,
66,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XT_GLDWMC,管理单位名称,VARCHAR2,40,DE00065,管理单位名称,GLDWMC,字符型（string）,c..100
67,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XT_SJBMID,上级部门ID,VARCHAR2,20,,,,,
68,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XT_SJBMMC,上级部门名称,VARCHAR2,40,DE00065,上级单位名称,SJDWMC,字符型（string）,c..100
69,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XT_JGDM,机构代码,VARCHAR2,20,DE00060,公安机关机构代码,GAJGJGDM,字符型（string）,c12
70,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XT_JGMC,机构名称,VARCHAR2,40,,,,,
72,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XT_CZRID,操作人ID,VARCHAR2,18,,,,,
73,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XT_CZRXM,操作人姓名,VARCHAR2,15,DE00002,操作人姓名,CZRXM,字符型（string）,c..50
74,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XT_CZIP,操作IP,VARCHAR2,30,,,,,
75,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XT_ZHXGSJ,最后修改时间,VARCHAR2,19,DE00554,最后修改时间,ZHXGSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
76,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XT_KXGBZ,可修改标志,VARCHAR2,1,,,,,
78,人员要素,GZDX_JSBRJBXX,精神病人基本信息,XT_LCSLID,流程实例ID,NUMBER,,,,,,
79,人员要素,GZDX_JSBRJBXX,精神病人基本信息,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
80,人员要素,GZDX_JSBRJBXX,精神病人基本信息,DEP_ACTION_TIME,,DATE,,,,,,
1,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,P_ID,吸毒人员基本信息自编号,NUMBER,,,,,,
2,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,ZRQ,责任区代码,VARCHAR2,20,,,,,
3,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,ZRQMC,责任区名称,VARCHAR2,40,DE00075,责任区地址名称,ZRQDZMC,字符型（string）,c..100
4,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,PCS,派出所代码,VARCHAR2,20,,,,,
5,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,PCSMC,派出所名称,VARCHAR2,40,DE00075,派出所地址名称,PCSDZMC,字符型（string）,c..100
6,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,FXJ,分县局,VARCHAR2,20,DE00060,公安机关机构代码,FXJJGDM,字符型（string）,c12
7,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,FXJMC,分县局名称,VARCHAR2,40,DE00075,分县局地址名称,FXJDZMC,字符型（string）,c..100
8,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,RYBH,人员编号,NUMBER,,,,,,
9,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,SFZH,身份证号,VARCHAR2,30,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
10,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,BM,绰号/别名,VARCHAR2,30,DE00030,别名/绰号,BMCH,字符型（string）,c..50
11,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,SG,身高（cm）,VARCHAR2,3,DE00012,身高,SG,数值型（numeric）,n..3
12,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,HJDXZQH,户籍地行政区划,VARCHAR2,6,DE00070,户籍住址行政区划代码,HJZZQHDM,字符型（string）,c6
13,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,HJDJLXDM,户籍地街楼巷代码,VARCHAR2,40,,,,,
14,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,HJDJLXMC,户籍地街楼巷名称,VARCHAR2,40,DE00075,户籍住址街楼巷地址名称,HJZZJLXDZMC,字符型（string）,c..100
15,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,HJDMLPDM,户籍地门楼牌代码,VARCHAR2,40,,,,,
16,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,HJDMLPMC,户籍地门楼牌名称,VARCHAR2,40,DE00075,户籍住址门楼牌地址名称,HJZZMLPDZMC,字符型（string）,c..100
17,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,HJDXZDM,户籍地详址代码,NUMBER,,,,,,
18,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,HJDXZMC,户籍地详址名称,VARCHAR2,40,DE00075,户籍住址详址地址名称,HJZZXZDZMC,字符型（string）,c..100
19,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,HJDQDZ,户籍地全地址,VARCHAR2,128,DE00075,户籍住址地址名称,HJZZDZMC,字符型（string）,c..100
20,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,HJDGBID,户籍地根表ID,VARCHAR2,20,,,,,
21,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,HJDPCS,户籍地派出所,VARCHAR2,40,,,,,
24,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,JZDJLXMC,居住地街楼巷名称,VARCHAR2,40,DE00075,居住地街楼巷地址名称,JZDJLXDZMC,字符型（string）,c..100
25,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,JZDMLPDM,居住地门楼牌代码,VARCHAR2,40,,,,,
27,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,JZDXZDM,居住地详址代码,NUMBER,,,,,,
28,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,JZDXZMC,居住地详址名称,VARCHAR2,40,DE00075,居住地详址地址名称,JZDXZDZMC,字符型（string）,c..100
29,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,JZDQDZ,居住地全地址,VARCHAR2,128,DE00075,居住地地址名称,JZDDZMC,字符型（string）,c..100
30,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,JZDGBID,居住地根表ID,VARCHAR2,20,,,,,
31,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,JZDPCS,居住地派出所,VARCHAR2,40,,,,,
32,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,GZDW,工作单位,VARCHAR2,80,DE00021,服务处所,FWCS,字符型（string）,c..100
33,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,ZPBZ,照片标志,VARCHAR2,1,,,,,
35,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,DJRQ,登记日期,VARCHAR2,19,DE00524,登记时间,DJSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
36,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,DJDQ,登记地区,VARCHAR2,128,DE00070,登记地区行政区划代码,DJDQXZQHDM,字符型（string）,c6
37,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,DJDW,登记单位,VARCHAR2,40,DE00065,登记单位名称,DJDWMC,字符型（string）,c..100
38,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,DJDD,登记地点,VARCHAR2,128,DE00075,登记地点地址名称,DJDDJZDDZMC,字符型（string）,c..100
39,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,DPLY,毒品来源,VARCHAR2,128,DE00166,毒品来源代码,DPLYDM,字符型（string）,c2
40,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XDRQ,吸毒日期,VARCHAR2,19,DE00101,吸毒日期,XDRQ,日期型（date）,d8（YYYYMMDD）
41,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XDCS,吸毒场所,VARCHAR2,128,,,,,
42,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,LYDPZL,滥用毒品种类,VARCHAR2,20,DE00084,毒品种类代码,DPZLDM,字符型（string）,c5
43,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,TBSHR,填表审核人,VARCHAR2,30,DE00002,填表审核人姓名,TBSHRXM,字符型（string）,c..50
44,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,TBDW,填表单位,VARCHAR2,40,DE00065,填表单位名称,TBDWMC,字符型（string）,c..100
45,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,TBR,填表人,VARCHAR2,30,DE00002,填表人姓名,TBRXM,字符型（string）,c..50
47,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,SFMYCF,是否免于处罚,VARCHAR2,10,,,,,
48,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XDSS,吸毒事实,                    ,250,,,,,
49,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,PZLY,批准理由,VARCHAR2,10,,,,,
51,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,PZR,批准人,VARCHAR2,15,DE00002,批准人姓名,PZRXM,字符型（string）,c..50
52,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,BZ,备注,VARCHAR2,250,,,,,
53,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XT_ZRQ,责任区,VARCHAR2,20,,,,,
54,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XT_ZRQMC,责任区名称,VARCHAR2,40,,,,,
55,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XT_GLDWID,管理单位ID,VARCHAR2,12,,,,,
56,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XT_GLDWMC,管理单位名称,VARCHAR2,40,DE00065,管理单位名称,GLDWMC,字符型（string）,c..100
57,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XT_GLRID,管理人ID,VARCHAR2,18,,,,,
58,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XT_GLRXM,管理人姓名,VARCHAR2,15,DE00002,管理人姓名,GLRXM,字符型（string）,c..50
60,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XT_JGMC,机构名称,VARCHAR2,40,,,,,
63,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XT_CZRXM,操作人姓名,VARCHAR2,15,DE00002,操作人姓名,CZRXM,字符型（string）,c..50
64,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XT_CZIP,操作IP,VARCHAR2,30,,,,,
65,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XT_TBDW,填表单位,VARCHAR2,20,,,,,
67,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XT_ZHXGSJ,最后修改时间,VARCHAR2,19,DE00554,最后修改日期时间,ZHXGRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
68,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XT_KXGBZ,可修改标志,VARCHAR2,1,,,,,
70,人员要素,GZDX_XDRYJBXX,吸毒人员基本信息及主动登记表,XT_LCSLID,流程实例ID,NUMBER,,,,,,
35,人员要素,CRJ_CZJWRYXX,常住境外人员信息,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
36,人员要素,CRJ_CZJWRYXX,常住境外人员信息,DEP_ACTION_TIME,,DATE,,,,,,
1,人员要素,GZDX_JGDXXX,监管对象信息,P_ID,监管对象信息自编号,NUMBER,,,,,,
2,人员要素,GZDX_JGDXXX,监管对象信息,ZRQ,责任区代码,VARCHAR2,20,,,,,
3,人员要素,GZDX_JGDXXX,监管对象信息,ZRQMC,责任区名称,VARCHAR2,40,DE00075,责任区地址名称,ZRQDZMC,字符型（string）,c..100
4,人员要素,GZDX_JGDXXX,监管对象信息,PCS,派出所代码,VARCHAR2,20,,,,,
5,人员要素,GZDX_JGDXXX,监管对象信息,PCSMC,派出所名称,VARCHAR2,40,DE00075,派出所地址名称,PCSDZMC,字符型（string）,c..100
6,人员要素,GZDX_JGDXXX,监管对象信息,FXJ,分县局,VARCHAR2,20,DE00060,公安机关机构代码,FXJJGDM,字符型（string）,c12
7,人员要素,GZDX_JGDXXX,监管对象信息,FXJMC,分县局名称,VARCHAR2,40,DE00075,分县局地址名称,FXJDZMC,字符型（string）,c..100
8,人员要素,GZDX_JGDXXX,监管对象信息,SFZHM,公民身份号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
9,人员要素,GZDX_JGDXXX,监管对象信息,RYBH,人员编号,NUMBER,,,,,,
10,人员要素,GZDX_JGDXXX,监管对象信息,ZPBZ,照片标志,VARCHAR2,1,,,,,
11,人员要素,GZDX_JGDXXX,监管对象信息,BM,别名绰号,VARCHAR2,30,DE00030,别名/绰号,BMCH,字符型（string）,c..50
12,人员要素,GZDX_JGDXXX,监管对象信息,HYKY,汉语口音,VARCHAR2,6,,,,,
13,人员要素,GZDX_JGDXXX,监管对象信息,WHCD,文化程度,VARCHAR2,2,DE00013,学历代码,XLDM,字符型（string）,c2
14,人员要素,GZDX_JGDXXX,监管对象信息,XX,血型,VARCHAR2,1,,,,,
15,人员要素,GZDX_JGDXXX,监管对象信息,FWCS,服务处所,VARCHAR2,80,DE00021,服务处所,FWCS,字符型（string）,c..100
17,人员要素,GZDX_JGDXXX,监管对象信息,ZYMC,职业名称,VARCHAR2,10,DE00019,职业,ZY,字符型（string）,c..60
18,人员要素,GZDX_JGDXXX,监管对象信息,ZC,专长,VARCHAR2,100,,,,,
19,人员要素,GZDX_JGDXXX,监管对象信息,HKSZDXZQH,户口所在地行政区划,VARCHAR2,6,DE00070,户口所在地行政区划代码,HKSZDXZQHDM,字符型（string）,c6
20,人员要素,GZDX_JGDXXX,监管对象信息,HKSZDJLXDM,户口所在地街楼巷代码,VARCHAR2,40,,,,,
21,人员要素,GZDX_JGDXXX,监管对象信息,HKSZDJLXMC,户口所在地街楼巷名称,VARCHAR2,40,DE00075,户口所在地街楼巷地址名称,HKSZDJLXDZMC,字符型（string）,c..100
22,人员要素,GZDX_JGDXXX,监管对象信息,HKSZDMLPDM,户口所在地门楼牌代码,VARCHAR2,40,,,,,
23,人员要素,GZDX_JGDXXX,监管对象信息,HKSZDMLPMC,户口所在地门楼牌名称,VARCHAR2,40,DE00075,户口所在地门楼牌地址名称,HKSZDMLPDZMC,字符型（string）,c..100
