表内序号,五要素,表名,字段名称,字段描述,字段类型,长度,内部标识符,中文名称,标识符,数据类型,表示格式
18,人员要素,CRJ_CCRJZJRYXX,QWGHDQ,前往国或地区,VARCHAR2,3,DE00069,前往国家和地区代码,QWGJHDQDM,字符型（string）,c3
19,人员要素,CRJ_CCRJZJRYXX,CJSY,出境事由,VARCHAR2,2,,,,,
20,人员要素,CRJ_CCRJZJRYXX,SPJG,审批机关,VARCHAR2,4,,,,,
21,人员要素,CRJ_CCRJZJRYXX,QFRQ,签发日期,VARCHAR2,8,DE00571,签发日期,QFRQ,日期型（date）,d8(YYYYMMDD)
22,人员要素,CRJ_CCRJZJRYXX,ZJYXQ,证件有效期,VARCHAR2,3,DE01057,证件有效期期限,ZJYXQQX,数值型（numeric）,n..5
23,人员要素,CRJ_CCRJZJRYXX,CCRJZJRYID,持出入境证件人员ID,VARCHAR2,15,,,,,
24,人员要素,CRJ_CCRJZJRYXX,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
25,人员要素,CRJ_CCRJZJRYXX,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,人员要素,CRJ_CZJWRYXX,CZJWRYYWBH,常住境外人员业务编号,VARCHAR2,15,,,,,
2,人员要素,CRJ_CZJWRYXX,RYDYLB,人员地域类别,VARCHAR2,1,,,,,
3,人员要素,CRJ_CZJWRYXX,RYLB,人员类别,VARCHAR2,2,DE00148,出入境人员类别代码,CRJRYLBDM,字符型（string）,c2
4,人员要素,CRJ_CZJWRYXX,WWX,外文姓,VARCHAR2,40,DE00004,外文姓,WWX,字符型（string）,c..40
5,人员要素,CRJ_CZJWRYXX,WWM,外文名,VARCHAR2,40,DE00005,外文名,WWM,字符型（string）,c..40
6,人员要素,CRJ_CZJWRYXX,ZWXM,中文姓名,VARCHAR2,30,DE00002,中文姓名,ZWXM,字符型（string）,c..50
7,人员要素,CRJ_CZJWRYXX,XBDM,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
8,人员要素,CRJ_CZJWRYXX,CSRQ,出生日期,VARCHAR2,8,DE00008,出生日期,CSRQ,日期型（date）,d8（YYYYMMDD）
9,人员要素,CRJ_CZJWRYXX,GJHDQDM,国家/地区,VARCHAR2,3,DE00069,国家和地区代码,GJHDQDM,字符型（string）,c3
10,人员要素,CRJ_CZJWRYXX,SFFLDM,身份分类代码,VARCHAR2,2,DE00147,境外人员入境登记身份代码,JWRYRJDJSFDM,字符型（string）,c2
11,人员要素,CRJ_CZJWRYXX,SFZMMC,身份证明名称,VARCHAR2,3,DE00085,常用证件代码,CYZJDM,字符型（string）,c3
12,人员要素,CRJ_CZJWRYXX,QFRQ,签发日期,VARCHAR2,8,DE00571,签发日期,QFRQ,日期型（date）,d8(YYYYMMDD)
13,人员要素,CRJ_CZJWRYXX,ZJYXQ,证件有效期,VARCHAR2,8,DE00611,证件有效期截止日期,YXQJZRQ,日期型（date）,d8(YYYYMMDD)
14,人员要素,CRJ_CZJWRYXX,SFZMHM,身份证明号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
15,人员要素,CRJ_CZJWRYXX,RJKA,入境口岸,VARCHAR2,3,DE00078,口岸代码,KADM,字符型（string）,c3
16,人员要素,CRJ_CZJWRYXX,RJRQ,入境日期,VARCHAR2,8,DE00580,入境日期,RJRQ,日期型（date）,d8(YYYYMMDD)
17,人员要素,CRJ_CZJWRYXX,RJSY,入境事由,VARCHAR2,2,DE00125,境外人员入境事由代码,JWRYRJSYDM,字符型（string）,c2
18,人员要素,CRJ_CZJWRYXX,ZJNRS,证件内人数,VARCHAR2,1,DE00829,证件内人数,ZJNRS,数值型（numeric）,n..10
19,人员要素,CRJ_CZJWRYXX,QZZL,签证种类,VARCHAR2,16,,,,,
20,人员要素,CRJ_CZJWRYXX,JLSY,居留事由,VARCHAR2,2,DE00126,外国人居留事由代码,WGRJLSYDM,字符型（string）,c2
21,人员要素,CRJ_CZJWRYXX,QZHM,签证号码,VARCHAR2,16,,,,,
22,人员要素,CRJ_CZJWRYXX,QZFZRQ,签证发证日期,VARCHAR2,8,DE00101,签证发证日期,QZFZRQ,日期型（date）,d8（YYYYMMDD）
23,人员要素,CRJ_CZJWRYXX,QZYXQ,签证有效期,VARCHAR2,8,DE00611,签证有效期截止日期,QZYXQJZRQ,日期型（date）,d8(YYYYMMDD)
24,人员要素,CRJ_CZJWRYXX,QFD,签发地,VARCHAR2,4,,,,,
25,人员要素,CRJ_CZJWRYXX,LXDH,联系电话,VARCHAR2,40,DE00216,联系电话,LXDH,字符型（string）,c..18
26,人员要素,CRJ_CZJWRYXX,BZ,备注,VARCHAR2,1024,,,,,
27,人员要素,CRJ_CZJWRYXX,JDDWLB,建档单位类别,VARCHAR2,1,,,,,
28,人员要素,CRJ_CZJWRYXX,JDDW,建档单位,VARCHAR2,12,DE00065,建档单位名称,JDDWMC,字符型（string）,c..100
29,人员要素,CRJ_CZJWRYXX,ZDZYRYBZ,重点注意人员标识,VARCHAR2,1,,,,,
30,人员要素,CRJ_CZJWRYXX,JLXKHM,居留许可(签证)号码,VARCHAR2,16,,,,,
31,人员要素,CRJ_CZJWRYXX,JLXKYXQX,居留许可(签证)有效期限,VARCHAR2,8,DE00611,签证有效期截止日期,QZYXQJZRQ,日期型（date）,d8(YYYYMMDD)
32,人员要素,CRJ_CZJWRYXX,JLXKQFJG,居留许可(签证)签发机关,VARCHAR2,4,,,,,
33,人员要素,CRJ_CZJWRYXX,JLXKBGXXDM,居留许可(签证)变更信息代码,VARCHAR2,2,,,,,
34,人员要素,CRJ_CZJWRYXX,JLXKBGHXX,居留许可(签证)变更后信息,VARCHAR2,1024,,,,,
35,人员要素,CRJ_CZJWRYXX,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
36,人员要素,CRJ_CZJWRYXX,DEP_ACTION_TIME,,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,人员要素,GZDX_JGDXXX,P_ID,监管对象信息自编号,NUMBER,,,,,,
2,人员要素,GZDX_JGDXXX,ZRQ,责任区代码,VARCHAR2,20,,,,,
3,人员要素,GZDX_JGDXXX,ZRQMC,责任区名称,VARCHAR2,40,DE00075,责任区地址名称,ZRQDZMC,字符型（string）,c..100
4,人员要素,GZDX_JGDXXX,PCS,派出所代码,VARCHAR2,20,,,,,
5,人员要素,GZDX_JGDXXX,PCSMC,派出所名称,VARCHAR2,40,DE00075,派出所地址名称,PCSDZMC,字符型（string）,c..100
6,人员要素,GZDX_JGDXXX,FXJ,分县局,VARCHAR2,20,DE00060,公安机关机构代码,GAJGJGDM,字符型（string）,c12
7,人员要素,GZDX_JGDXXX,FXJMC,分县局名称,VARCHAR2,40,DE00075,分县局地址名称,FXJDZMC,字符型（string）,c..100
8,人员要素,GZDX_JGDXXX,SFZHM,公民身份号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
9,人员要素,GZDX_JGDXXX,RYBH,人员编号,NUMBER,,,,,,
10,人员要素,GZDX_JGDXXX,ZPBZ,照片标志,VARCHAR2,1,,,,,
11,人员要素,GZDX_JGDXXX,BM,别名绰号,VARCHAR2,30,DE00030,别名/绰号,BMCH,字符型（string）,c..50
12,人员要素,GZDX_JGDXXX,HYKY,汉语口音,VARCHAR2,6,,,,,
13,人员要素,GZDX_JGDXXX,WHCD,文化程度,VARCHAR2,2,DE00013,学历代码,XLDM,字符型（string）,c2
14,人员要素,GZDX_JGDXXX,XX,血型,VARCHAR2,1,,,,,
15,人员要素,GZDX_JGDXXX,FWCS,服务处所,VARCHAR2,80,DE00021,服务处所,FWCS,字符型（string）,c..100
16,人员要素,GZDX_JGDXXX,ZYLB,职业类别,VARCHAR2,10,DE00020,职业类别代码,ZYLBDM,字符型（string）,c3
17,人员要素,GZDX_JGDXXX,ZYMC,职业名称,VARCHAR2,10,DE00019,职业,ZY,字符型（string）,c..60
18,人员要素,GZDX_JGDXXX,ZC,专长,VARCHAR2,100,,,,,
19,人员要素,GZDX_JGDXXX,HKSZDXZQH,户口所在地行政区划,VARCHAR2,6,DE00070,户口所在地行政区划代码,HKSZDXZQHDM,字符型（string）,c6
20,人员要素,GZDX_JGDXXX,HKSZDJLXDM,户口所在地街楼巷代码,VARCHAR2,40,,,,,
21,人员要素,GZDX_JGDXXX,HKSZDJLXMC,户口所在地街楼巷名称,VARCHAR2,40,DE00075,户口所在地街楼巷地址名称,HKSZDJLXDZMC,字符型（string）,c..100
22,人员要素,GZDX_JGDXXX,HKSZDMLPDM,户口所在地门楼牌代码,VARCHAR2,40,,,,,
23,人员要素,GZDX_JGDXXX,HKSZDMLPMC,户口所在地门楼牌名称,VARCHAR2,40,DE00075,户口所在地门楼牌地址名称,HKSZDMLPDZMC,字符型（string）,c..100
24,人员要素,GZDX_JGDXXX,HKSZDXZDM,户口所在地详址代码,NUMBER,,,,,,
25,人员要素,GZDX_JGDXXX,HKSZDXZMC,户口所在地详址名称,VARCHAR2,40,DE00075,户口所在地详址地址名称,HKSZDXZDZMC,字符型（string）,c..100
26,人员要素,GZDX_JGDXXX,HKSZDQDZ,户口所在地全地址,VARCHAR2,60,DE00075,户口所在地地址名称,HKSZDDZMC,字符型（string）,c..100
27,人员要素,GZDX_JGDXXX,HKSZDGBID,户口所在地根表ID,VARCHAR2,20,,,,,
28,人员要素,GZDX_JGDXXX,XZDZXZQH,现住地址行政区划,VARCHAR2,6,DE00070,现住址行政区划代码,XZZXZQHDM,字符型（string）,c6
29,人员要素,GZDX_JGDXXX,XZDZJLXDM,现住地址街楼巷代码,VARCHAR2,40,,,,,
30,人员要素,GZDX_JGDXXX,XZDZJLXMC,现住地址街楼巷名称,VARCHAR2,40,DE00075,现住地址街楼巷地址名称,XZDZJLXDZMC,字符型（string）,c..100
31,人员要素,GZDX_JGDXXX,XZDZMLPDM,现住地址门楼牌代码,VARCHAR2,40,,,,,
32,人员要素,GZDX_JGDXXX,XZDZMLPMC,现住地址门楼牌名称,VARCHAR2,40,DE00075,现住地址门楼牌地址名称,XZDZMLPDZMC,字符型（string）,c..100
33,人员要素,GZDX_JGDXXX,XZDZXZDM,现住地址详址代码,NUMBER,,,,,,
34,人员要素,GZDX_JGDXXX,XZDZXZMC,现住地址详址名称,VARCHAR2,40,DE00075,现住地址详址地址名称,XZDZXZDZMC,字符型（string）,c..100
35,人员要素,GZDX_JGDXXX,XZDZQDZ,现住地址全地址,VARCHAR2,60,DE00075,现住址地址名称,XZZDZMC,字符型（string）,c..100
36,人员要素,GZDX_JGDXXX,XZDZGBID,现住地址根表ID,VARCHAR2,20,,,,,
37,人员要素,GZDX_JGDXXX,LXFS,联系方式,VARCHAR2,30,DE00216,联系电话,LXDH,字符型（string）,c..18
38,人员要素,GZDX_JGDXXX,AJLB,案件类别,VARCHAR2,10,DE00093,案件类别代码,AJLBDM,字符型（string）,c6
39,人员要素,GZDX_JGDXXX,GLLB,管理类别,VARCHAR2,10,,,,,
40,人员要素,GZDX_JGDXXX,GLFF,管理方法,VARCHAR2,10,,,,,
41,人员要素,GZDX_JGDXXX,JGLY,监管来源,VARCHAR2,10,,,,,
42,人员要素,GZDX_JGDXXX,BABM,办案部门,VARCHAR2,16,,,,,
43,人员要素,GZDX_JGDXXX,CGRQ,撤管日期,VARCHAR2,19,DE00101,撤管日期,CGRQ,日期型（date）,d8（YYYYMMDD）
44,人员要素,GZDX_JGDXXX,CGLY,撤管理由,VARCHAR2,500,,,,,
45,人员要素,GZDX_JGDXXX,CGSSR,撤管送审人,VARCHAR2,15,DE00002,撤管送审人姓名,CGSSRXM,字符型（string）,c..50
46,人员要素,GZDX_JGDXXX,CGPZR,撤管批准人,VARCHAR2,15,DE00002,撤管批准人姓名,CGPZRXM,字符型（string）,c..50
47,人员要素,GZDX_JGDXXX,BZ,备注,VARCHAR2,250,,,,,
48,人员要素,GZDX_JGDXXX,XT_ZRQ,责任区,VARCHAR2,20,,,,,
49,人员要素,GZDX_JGDXXX,XT_ZRQMC,责任区名称,VARCHAR2,40,,,,,
50,人员要素,GZDX_JGDXXX,XT_GLDWID,管理单位ID,VARCHAR2,12,,,,,
51,人员要素,GZDX_JGDXXX,XT_GLDWMC,管理单位名称,VARCHAR2,40,DE00065,管理单位名称,GLDWMC,字符型（string）,c..100
52,人员要素,GZDX_JGDXXX,XT_SJBMID,上级部门ID,VARCHAR2,20,,,,,
53,人员要素,GZDX_JGDXXX,XT_SJBMMC,上级部门名称,VARCHAR2,40,DE00065,上级单位名称,SJDWMC,字符型（string）,c..100
54,人员要素,GZDX_JGDXXX,XT_JGDM,机构代码,VARCHAR2,20,DE00060,公安机关机构代码,GAJGJGDM,字符型（string）,c12
55,人员要素,GZDX_JGDXXX,XT_JGMC,机构名称,VARCHAR2,40,,,,,
56,人员要素,GZDX_JGDXXX,XT_CZSJ,操作时间,VARCHAR2,19,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
57,人员要素,GZDX_JGDXXX,XT_CZRID,操作人ID,VARCHAR2,18,,,,,
58,人员要素,GZDX_JGDXXX,XT_CZRXM,操作人姓名,VARCHAR2,15,DE00002,操作人姓名,CZRXM,字符型（string）,c..50
59,人员要素,GZDX_JGDXXX,XT_CZIP,操作IP,VARCHAR2,30,,,,,
60,人员要素,GZDX_JGDXXX,XT_ZHXGSJ,最后修改时间,VARCHAR2,19,DE00554,最后修改时间,ZHXGSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
61,人员要素,GZDX_JGDXXX,XT_KXGBZ,可修改标志,VARCHAR2,1,,,,,
62,人员要素,GZDX_JGDXXX,XT_LCZT,流程状态,VARCHAR2,1,,,,,
63,人员要素,GZDX_JGDXXX,XT_LCSLID,流程实例ID,NUMBER,,,,,,
64,人员要素,GZDX_JGDXXX,YJSPR,一级审批人,VARCHAR2,15,DE00002,一级审批人姓名,YJSPRXM,字符型（string）,c..50
65,人员要素,GZDX_JGDXXX,YJSPYJ,一级审批意见,VARCHAR2,50,,,,,
66,人员要素,GZDX_JGDXXX,YJSPSJ,一级审批时间,VARCHAR2,19,DE00554,一级审批日期时间,YJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
67,人员要素,GZDX_JGDXXX,EJSPR,二级审批人,VARCHAR2,15,DE00002,二级审批人姓名,EJSPRXM,字符型（string）,c..50
68,人员要素,GZDX_JGDXXX,EJSPYJ,二级审批意见,VARCHAR2,50,,,,,
69,人员要素,GZDX_JGDXXX,EJSPSJ,二级审批时间,VARCHAR2,19,DE00554,二级审批日期时间,EJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
70,人员要素,GZDX_JGDXXX,SJSPR,三级审批人,VARCHAR2,15,DE00002,三级审批人姓名,SJSPRXM,字符型（string）,c..50
71,人员要素,GZDX_JGDXXX,SJSPYJ,三级审批意见,VARCHAR2,50,,,,,
72,人员要素,GZDX_JGDXXX,SJSPSJ,三级审批时间,VARCHAR2,19,DE00554,三级审批日期时间,SJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
73,人员要素,GZDX_JGDXXX,SIJSPR,四级审批人,VARCHAR2,15,DE00002,四级审批人姓名,SJSPRXM,字符型（string）,c..50
74,人员要素,GZDX_JGDXXX,SIJSPYJ,四级审批意见,VARCHAR2,50,,,,,
75,人员要素,GZDX_JGDXXX,SIJSPSJ,四级审批时间,VARCHAR2,19,DE00554,四级审批日期时间,SJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
76,人员要素,GZDX_JGDXXX,WJSPR,五级审批人,VARCHAR2,15,DE00002,五级审批人姓名,WJSPRXM,字符型（string）,c..50
77,人员要素,GZDX_JGDXXX,WJSPYJ,五级审批意见,VARCHAR2,50,,,,,
78,人员要素,GZDX_JGDXXX,WJSPSJ,五级审批时间,VARCHAR2,19,DE00554,五级审批日期时间,WJSPRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
79,人员要素,GZDX_JGDXXX,SPJG,审批结果,VARCHAR2,2,,,,,
80,人员要素,GZDX_JGDXXX,JGJSRQ,监管结束日期,VARCHAR2,19,DE00645,监管截止日期,JGJZRQ,日期型（date）,d8(YYYYMMDD)
81,人员要素,GZDX_JGDXXX,JGQSRQ,监管起始日期,VARCHAR2,19,DE00644,监管起始日期,JGQSRQ,日期型（date）,d8(YYYYMMDD)
82,人员要素,GZDX_JGDXXX,JGQX,监管期限,VARCHAR2,20,DE01057,监管期限,JGQX,数值型（numeric）,n..5
83,人员要素,GZDX_JGDXXX,XT_JH,系统警号,VARCHAR2,30,,,,,
84,人员要素,GZDX_JGDXXX,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
85,人员要素,GZDX_JGDXXX,DEP_ACTION_TIME,,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,人员要素,GZDX_JSBRJBXX,P_ID,精神病人基本信息自编号,NUMBER,,,,,,
2,人员要素,GZDX_JSBRJBXX,ZRQ,责任区代码,VARCHAR2,20,,,,,
3,人员要素,GZDX_JSBRJBXX,ZRQMC,责任区名称,VARCHAR2,40,DE00075,责任区地址名称,ZRQDZMC,字符型（string）,c..100
4,人员要素,GZDX_JSBRJBXX,PCS,派出所代码,VARCHAR2,20,,,,,
5,人员要素,GZDX_JSBRJBXX,PCSMC,派出所名称,VARCHAR2,40,DE00075,派出所地址名称,PCSDZMC,字符型（string）,c..100
6,人员要素,GZDX_JSBRJBXX,FXJ,分县局,VARCHAR2,20,DE00060,公安机关机构代码,GAJGJGDM,字符型（string）,c12
7,人员要素,GZDX_JSBRJBXX,FXJMC,分县局名称,VARCHAR2,40,DE00075,分县局地址名称,FXJDZMC,字符型（string）,c..100
8,人员要素,GZDX_JSBRJBXX,ZJLX,证件类型,VARCHAR2,3,DE00085,常用证件代码,CYZJDM,字符型（string）,c3
9,人员要素,GZDX_JSBRJBXX,ZJHM,证件号码,VARCHAR2,30,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
10,人员要素,GZDX_JSBRJBXX,RYBH,人员编号,NUMBER,,,,,,
11,人员要素,GZDX_JSBRJBXX,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
12,人员要素,GZDX_JSBRJBXX,CSRQ,出生日期,VARCHAR2,19,DE00008,出生日期,CSRQ,日期型（date）,d8（YYYYMMDD）
13,人员要素,GZDX_JSBRJBXX,XB,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
14,人员要素,GZDX_JSBRJBXX,MZ,民族,VARCHAR2,2,DE00011,民族代码,MZDM,字符型（string）,c2
15,人员要素,GZDX_JSBRJBXX,JG,籍贯,VARCHAR2,6,DE00015,籍贯国家/地区代码,JGGJDQDM,字符型（string）,c3
16,人员要素,GZDX_JSBRJBXX,HJZZXZQH,户籍住址行政区划,VARCHAR2,6,DE00070,户籍住址行政区划代码,HJZZQHDM,字符型（string）,c6
17,人员要素,GZDX_JSBRJBXX,HJZZJLXDM,户籍住址街楼巷代码,VARCHAR2,40,,,,,
18,人员要素,GZDX_JSBRJBXX,HJZZJLXMC,户籍住址街楼巷名称,VARCHAR2,40,DE00075,户籍住址街楼巷地址名称,HJZZJLXDZMC,字符型（string）,c..100
19,人员要素,GZDX_JSBRJBXX,HJZZMLPDM,户籍住址门楼牌代码,VARCHAR2,40,,,,,
20,人员要素,GZDX_JSBRJBXX,HJZZMLPMC,户籍住址门楼牌名称,VARCHAR2,40,DE00075,户籍住址门楼牌地址名称,HJZZMLPDZMC,字符型（string）,c..100
21,人员要素,GZDX_JSBRJBXX,HJZZXZDM,户籍住址详址代码,NUMBER,,,,,,
22,人员要素,GZDX_JSBRJBXX,HJZZXZMC,户籍住址详址名称,VARCHAR2,40,DE00075,户籍住址详址地址名称,HJZZXZDZMC,字符型（string）,c..100
23,人员要素,GZDX_JSBRJBXX,HJZZQDZ,户籍住址全地址,VARCHAR2,60,DE00075,户籍住址地址名称,HJZZDZMC,字符型（string）,c..100
24,人员要素,GZDX_JSBRJBXX,HJZZGBID,户籍住址根表ID,VARCHAR2,20,,,,,
25,人员要素,GZDX_JSBRJBXX,HJZZDH,户籍住址电话,VARCHAR2,30,DE00216,户籍住址联系电话,HJZZLXDH,字符型（string）,c..18
26,人员要素,GZDX_JSBRJBXX,XZZXZQH,现住址行政区划,VARCHAR2,6,DE00070,现住址行政区划代码,XZZXZQHDM,字符型（string）,c6
27,人员要素,GZDX_JSBRJBXX,XZZJLXDM,现住址街楼巷代码,VARCHAR2,40,,,,,
28,人员要素,GZDX_JSBRJBXX,XZZJLXMC,现住址街楼巷名称,VARCHAR2,40,DE00075,现住地址街楼巷地址名称,XZDZJLXDZMC,字符型（string）,c..100
29,人员要素,GZDX_JSBRJBXX,XZZMLPDM,现住址门楼牌代码,VARCHAR2,40,,,,,
30,人员要素,GZDX_JSBRJBXX,XZZMLPMC,现住址门楼牌名称,VARCHAR2,40,DE00075,现住地址门楼牌地址名称,XZDZMLPDZMC,字符型（string）,c..100
31,人员要素,GZDX_JSBRJBXX,XZZXZDM,现住址详址代码,NUMBER,,,,,,
32,人员要素,GZDX_JSBRJBXX,XZZXZMC,现住址详址名称,VARCHAR2,40,DE00075,现住地址详址地址名称,XZDZXZDZMC,字符型（string）,c..100
33,人员要素,GZDX_JSBRJBXX,XZZQDZ,现住址全地址,VARCHAR2,60,DE00075,现住址地址名称,XZZDZMC,字符型（string）,c..100
34,人员要素,GZDX_JSBRJBXX,XZZGBID,现住址根表ID,VARCHAR2,20,,,,,
35,人员要素,GZDX_JSBRJBXX,XZZDH,现住址电话,VARCHAR2,30,DE00216,现住址联系电话,XZZLXDH,字符型（string）,c..18
36,人员要素,GZDX_JSBRJBXX,WHCD,文化程度,VARCHAR2,2,DE00013,学历代码,XLDM,字符型（string）,c2
37,人员要素,GZDX_JSBRJBXX,ZPBZ,照片标志,VARCHAR2,1,,,,,
38,人员要素,GZDX_JSBRJBXX,ZY,职业,VARCHAR2,5,DE00020,职业类别代码,ZYLBDM,字符型（string）,c3
39,人员要素,GZDX_JSBRJBXX,GZDW,工作单位,VARCHAR2,80,DE00021,服务处所,FWCS,字符型（string）,c..100
40,人员要素,GZDX_JSBRJBXX,DWDH,单位电话,VARCHAR2,30,DE00216,单位联系电话,DWLXDH,字符型（string）,c..18
41,人员要素,GZDX_JSBRJBXX,JSLB,精神类别,VARCHAR2,3,,,,,
42,人员要素,GZDX_JSBRJBXX,JHRSFZHM,监护人公民身份证号码,VARCHAR2,18,DE00001,监护人公民身份号码,JHRGMSFHM,字符型（string）,c18
43,人员要素,GZDX_JSBRJBXX,JHR,监护人（监护单位）,VARCHAR2,80,,,,,
44,人员要素,GZDX_JSBRJBXX,JHRYHZGX,监护人与患者关系,VARCHAR2,5,DE00026,监护关系代码,JHGXDM,字符型（string）,c2
45,人员要素,GZDX_JSBRJBXX,JHRZZXZQH,监护人（监护单位）住址行政区划,VARCHAR2,6,DE00070,监护人（监护单位）行政区划代码,JHRXZQHDM,字符型（string）,c6
46,人员要素,GZDX_JSBRJBXX,JHRZZJLXDM,监护人（监护单位）住址街楼巷代码,VARCHAR2,40,,,,,
47,人员要素,GZDX_JSBRJBXX,JHRZZJLXMC,监护人（监护单位）住址街楼巷名称,VARCHAR2,40,DE00075,监护人（监护单位）街楼巷地址名称,JHRJLXDZMC,字符型（string）,c..100
48,人员要素,GZDX_JSBRJBXX,JHRZZMLPDM,监护人（监护单位）住址门楼牌代码,VARCHAR2,40,,,,,
49,人员要素,GZDX_JSBRJBXX,JHRZZMLPMC,监护人（监护单位）住址门楼牌名称,VARCHAR2,40,DE00075,监护人（监护单位）门楼牌地址名称,JHRMLPDZMC,字符型（string）,c..100
50,人员要素,GZDX_JSBRJBXX,JHRZZXZDM,监护人（监护单位）住址详址代码,NUMBER,,,,,,
51,人员要素,GZDX_JSBRJBXX,JHRZZXZMC,监护人（监护单位）住址详址名称,VARCHAR2,40,DE00075,监护人（监护单位）详址地址名称,JHRXZDZMC,字符型（string）,c..100
52,人员要素,GZDX_JSBRJBXX,JHRZZQDZ,监护人（监护单位）住址全地址,VARCHAR2,60,DE00075,监护人（监护单位）地址名称,JHRDZMC,字符型（string）,c..100
53,人员要素,GZDX_JSBRJBXX,JHRZZGBID,监护人（监护单位）住址根表ID,VARCHAR2,20,,,,,
54,人员要素,GZDX_JSBRJBXX,JHRDH,监护人（单位）电话,VARCHAR2,30,DE00216,监护人（监护单位）联系电话,JHRLXDH,字符型（string）,c..18
55,人员要素,GZDX_JSBRJBXX,ZYSS,主要事实,VARCHAR2,500,,,,,
56,人员要素,GZDX_JSBRJBXX,SFJDJL,司法鉴定结论,VARCHAR2,1,,,,,
57,人员要素,GZDX_JSBRJBXX,GKQK,管控情况,VARCHAR2,1,,,,,
58,人员要素,GZDX_JSBRJBXX,TBDW,填报单位,VARCHAR2,80,DE00065,填报单位名称,TBDWMC,字符型（string）,c..100
59,人员要素,GZDX_JSBRJBXX,TBR,填表人,VARCHAR2,30,DE00002,填表人姓名,TBRXM,字符型（string）,c..50
